review_text,rating,cleaned_text
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
This product is amazing! I love it.,5,product amazing love
"Terrible quality, do not buy.",1,terrible quality buy
"Good value for money, satisfied.",4,good value money satisfied
"Worst purchase ever, broke after one use.",1,worst purchase ever broke one use
"Excellent, highly recommend.",5,excellent highly recommend
"Not bad, but could be better.",3,bad could better
"Fantastic product, worth every penny.",5,fantastic product worth every penny
"Disappointed, expected more.",2,disappointed expected
"Great features, easy to use.",4,great feature easy use
"Poor customer service, bad experience.",1,poor customer service bad experience
